curbcut	stopid
Yes	"16,926"
Yes	"10,940"
Yes	"18,252"
Yes	"18,253"
Yes	"18,255"
Yes	"18,257"
Yes	"18,259"
No	"15,486"
Yes	"18,267"
Yes	"18,269"
Yes	"18,283"
Yes	"19,551"
Yes	"19,945"
Yes	"19,964"
Yes	"19,970"
Yes	"19,971"
No	"19,980"
No	"20,503"
Yes	"20,636"
Yes	"15,950"
Yes	"15,951"
Yes	"15,849"
Yes	"15,863"
Yes	"15,867"
Yes	507
Yes	498
Yes	970
Yes	976
Yes	979
Yes	"15,574"
Yes	"15,575"
Yes	"15,802"
Yes	"15,985"
Yes	"20,638"
Yes	"13,414"
Yes	"13,377"
Yes	"13,429"
Yes	"2,055"
Yes	"15,069"
Yes	584
Yes	"16,007"
No	"16,009"
Yes	"16,011"
Yes	"21,232"
Yes	403
Yes	"2,724"
Yes	"2,661"
Yes	"2,689"
Yes	"15,567"
Yes	"15,571"
No	"17,102"
Yes	"15,600"
Yes	"17,107"
Yes	"15,613"
Yes	"16,061"
Yes	"16,138"
Yes	"16,156"
Yes	141
Yes	"17,279"
Yes	"17,280"
Yes	"17,288"
Yes	"17,290"
Yes	"17,297"
Yes	"17,369"
No	"15,071"
Yes	"17,305"
Yes	"16,444"
Yes	"16,450"
No	"16,454"
No	"16,458"
Yes	"18,570"
Yes	"3,115"
Yes	"3,128"
Yes	"15,739"
Yes	"15,740"
Yes	"15,770"
Yes	"15,776"
Yes	"15,780"
Yes	"16,939"
Yes	"16,703"
Yes	35
Yes	"3,077"
Yes	746
Yes	747
Yes	"2,902"
Yes	"5,372"
Yes	"3,092"
Yes	"15,810"
Yes	476
Yes	"2,710"
Yes	"2,688"
Yes	419
Yes	672
Yes	436
Yes	"3,189"
Yes	"20,844"
Yes	"15,668"
No	373
Yes	"15,727"
Yes	"15,925"
No	"5,805"
No	429
No	677
Yes	"22,377"
Yes	"2,047"
No	"19,136"
Yes	"20,000"
No	"18,985"
Yes	"15,117"
Yes	"15,114"
Yes	"13,374"
Yes	"15,206"
Yes	"4,474"
Yes	"4,462"
Yes	"4,465"
Yes	"3,129"
Yes	"3,145"
Yes	"14,937"
Yes	"14,938"
Yes	751
Yes	752
No	"5,909"
No	512
No	"12,410"
No	"8,525"
Yes	"9,898"
Yes	"10,200"
Yes	"20,005"
Yes	"20,013"
Yes	"20,014"
Yes	"19,276"
Yes	"19,277"
Yes	"19,802"
Yes	"19,804"
Yes	"19,102"
Yes	728
No	"18,030"
Yes	"20,662"
Yes	"16,047"
Yes	"20,932"
No	"16,373"
No	524
Yes	526
Yes	"19,116"
No	"2,029"
Yes	"14,861"
Yes	"19,134"
No	"19,235"
Yes	"19,244"
No	"19,247"
No	"17,812"
Yes	"17,818"
Yes	"17,859"
Yes	"17,866"
Yes	"17,881"
Yes	"17,898"
Yes	"14,754"
Yes	"16,390"
Yes	"15,229"
Yes	"21,249"
Yes	"15,230"
Yes	"6,061"
Yes	54
Yes	"19,269"
Yes	"19,270"
No	"12,967"
No	"12,972"
Yes	"16,170"
Yes	"16,172"
Yes	"19,155"
Yes	"19,168"
Yes	"16,234"
Yes	"18,539"
Yes	"21,150"
Yes	"16,344"
Yes	651
Yes	"16,364"
Yes	734
Yes	"18,505"
Yes	"18,509"
Yes	"18,511"
Yes	"18,513"
Yes	"21,175"
Yes	557
Yes	633
Yes	"19,177"
Yes	"17,673"
Yes	"17,699"
Yes	"17,705"
Yes	"17,713"
Yes	"17,718"
No	871
No	872
No	876
Yes	877
Yes	"18,518"
Yes	"18,528"
Yes	"18,529"
Yes	"18,555"
Yes	"18,556"
Yes	"16,276"
Yes	"3,024"
Yes	"3,057"
Yes	"17,664"
Yes	"17,668"
No	"17,943"
Yes	"17,952"
Yes	"17,962"
Yes	"17,964"
Yes	845
Yes	"17,969"
Yes	"17,970"
Yes	"18,062"
Yes	"18,065"
Yes	"18,074"
Yes	"18,080"
Yes	"18,082"
Yes	"18,441"
Yes	"16,292"
Yes	"16,304"
Yes	"18,491"
Yes	"18,497"
No	"1,169"
Yes	"10,209"
Yes	"12,274"
No	989
No	883
Yes	"17,533"
Yes	856
Yes	"17,552"
Yes	857
Yes	"17,579"
Yes	"17,628"
Yes	"17,632"
Yes	"17,647"
Yes	"17,648"
Yes	"18,083"
Yes	"16,239"
Yes	"16,256"
Yes	"16,260"
Yes	"16,263"
Yes	"16,945"
Yes	456
Yes	"16,947"
No	"16,710"
No	"16,713"
Yes	"16,716"
Yes	"16,718"
Yes	"18,104"
Yes	"18,123"
Yes	"17,364"
Yes	"16,543"
Yes	"2,754"
Yes	"16,936"
Yes	"16,724"
Yes	"16,744"
Yes	"16,745"
Yes	"16,957"
Yes	"21,219"
Yes	"16,904"
No	"16,915"
Yes	576
Yes	"17,385"
Yes	"17,391"
No	"2,501"
No	"15,053"
No	"19,555"
Yes	"19,574"
Yes	359
Yes	"1,354"
No	463
No	464
No	621
Yes	"18,665"
No	"18,669"
Yes	"18,672"
Yes	769
No	782
Yes	631
No	639
Yes	"19,500"
Yes	"19,516"
Yes	"19,518"
Yes	"19,524"
No	"1,738"
No	"4,351"
Yes	687
Yes	689
Yes	692
No	707
No	662
No	658
No	683
No	405
No	652
Yes	"17,576"
Yes	"18,204"
Yes	"17,922"
No	655
Yes	"1,220"
No	"1,653"
Yes	"16,599"
Yes	"16,612"
Yes	806
Yes	"16,620"
Yes	"16,630"
Yes	"1,146"
Yes	"19,827"
Yes	"19,828"
Yes	"19,830"
Yes	"19,846"
Yes	"19,857"
Yes	"19,860"
No	836
Yes	"20,368"
Yes	"16,760"
Yes	814
Yes	"16,772"
Yes	"16,796"
Yes	"19,770"
Yes	"19,776"
Yes	"19,778"
Yes	"19,798"
Yes	"16,000"
No	135
Yes	"16,814"
Yes	808
Yes	"16,654"
Yes	"16,655"
Yes	"16,663"
No	"16,669"
Yes	"16,670"
Yes	"19,735"
Yes	"19,740"
No	"16,679"
No	"16,692"
Yes	"16,750"
Yes	"2,125"
No	"18,698"
Yes	"18,926"
No	"18,933"
Yes	"17,425"
No	"19,589"
Yes	"19,592"
Yes	"17,461"
Yes	"17,468"
Yes	"19,901"
Yes	"19,905"
Yes	"17,947"
No	"2,519"
Yes	"18,593"
Yes	"2,063"
No	"20,042"
Yes	"20,048"
Yes	"20,069"
No	"4,667"
Yes	"4,649"
Yes	"4,630"
No	"20,076"
Yes	"15,506"
Yes	"15,515"
Yes	"15,518"
Yes	"15,519"
Yes	"15,834"
Yes	"15,841"
No	"15,928"
No	"18,981"
No	"15,088"
No	"15,139"
Yes	352
Yes	361
No	39
Yes	564
Yes	"15,236"
No	"1,035"
No	"1,040"
Yes	"1,045"
No	"1,047"
No	327
Yes	886
Yes	"11,137"
Yes	79
Yes	"11,128"
Yes	"11,135"
Yes	"5,746"
No	"1,893"
No	"1,901"
No	"1,904"
Yes	"19,883"
Yes	"18,385"
No	909
Yes	"16,202"
Yes	"18,428"
Yes	"18,435"
Yes	"18,439"
Yes	"17,864"
No	"1,585"
Yes	"17,959"
Yes	"17,972"
Yes	"17,989"
Yes	826
Yes	"18,020"
Yes	828
Yes	"18,148"
Yes	"4,362"
No	895
No	"1,249"
Yes	"3,914"
Yes	"4,352"
Yes	"4,353"
No	896
Yes	"4,328"
Yes	"4,331"
Yes	"4,333"
No	897
Yes	"4,349"
No	901
Yes	"15,005"
Yes	"15,006"
No	902
Yes	"18,400"
Yes	"18,403"
Yes	"18,406"
Yes	912
Yes	"18,419"
No	"2,073"
No	"19,684"
No	"14,904"
Yes	"3,747"
Yes	"15,003"
Yes	"17,874"
Yes	"17,878"
Yes	"17,885"
Yes	"17,999"
Yes	"18,000"
Yes	"18,001"
Yes	"17,123"
Yes	"17,126"
Yes	"17,174"
Yes	"17,185"
Yes	"18,213"
Yes	"18,215"
Yes	"16,474"
Yes	"18,853"
Yes	"18,858"
Yes	"18,861"
Yes	"18,874"
No	"1,388"
Yes	"15,447"
Yes	"15,535"
No	233
Yes	"15,604"
Yes	322
Yes	323
Yes	324
Yes	325
Yes	"15,627"
Yes	"18,908"
Yes	"19,919"
No	"19,936"
No	"18,699"
No	"18,708"
No	"18,709"
No	"18,717"
No	"1,386"
No	294
No	749
Yes	309
No	312
Yes	17
Yes	25
No	"20,094"
Yes	"20,375"
Yes	"19,485"
Yes	"19,487"
Yes	"6,059"
No	629
No	"16,933"
Yes	"15,547"
No	"15,551"
Yes	"15,566"
Yes	48
Yes	"2,657"
Yes	"3,036"
Yes	"3,051"
Yes	"3,066"
Yes	"3,026"
No	"1,287"
Yes	"5,169"
Yes	"17,129"
Yes	"17,136"
Yes	"17,159"
No	904
Yes	"15,030"
Yes	"17,761"
Yes	"1,068"
Yes	113
Yes	119
Yes	"18,035"
Yes	"14,905"
Yes	"14,907"
Yes	"6,058"
No	906
Yes	"11,105"
Yes	"16,419"
Yes	"1,078"
No	"16,413"
Yes	"17,515"
Yes	"17,690"
Yes	"17,694"
Yes	"17,695"
No	"1,060"
Yes	"14,883"
Yes	"14,887"
Yes	"17,717"
Yes	"17,739"
Yes	"17,742"
Yes	"17,773"
Yes	"17,759"
Yes	"17,809"
No	"1,233"
Yes	"1,234"
Yes	"1,131"
No	"1,102"
No	"1,103"
Yes	"1,340"
Yes	"18,186"
No	"1,126"
Yes	"16,425"
Yes	"18,192"
Yes	"1,094"
Yes	"8,165"
Yes	"17,492"
Yes	"17,498"
Yes	"17,501"
Yes	"17,506"
Yes	105
Yes	"1,009"
No	963
Yes	"17,180"
Yes	"17,182"
Yes	"17,184"
Yes	"17,190"
No	953
Yes	"21,532"
Yes	"20,544"
Yes	"5,602"
Yes	"5,597"
Yes	"13,113"
Yes	"13,107"
Yes	"20,512"
Yes	"20,513"
Yes	"20,784"
Yes	"20,789"
Yes	"20,802"
No	"20,731"
Yes	"20,661"
Yes	"20,733"
Yes	"20,831"
Yes	"20,841"
Yes	"20,812"
Yes	"20,814"
Yes	"20,821"
Yes	"20,677"
Yes	"20,696"
Yes	"20,751"
Yes	"20,771"
No	"11,506"
Yes	"20,667"
Yes	"20,669"
Yes	"9,941"
Yes	"20,675"
No	"6,232"
No	"6,234"
Yes	"13,534"
Yes	"20,558"
No	"6,252"
No	"18,964"
Yes	"21,967"
Yes	"20,980"
Yes	"20,982"
Yes	"20,989"
Yes	"20,995"
Yes	"20,999"
Yes	"21,002"
Yes	"20,409"
Yes	"20,717"
Yes	"20,722"
Yes	"20,724"
No	"20,735"
No	"20,416"
No	"23,096"
No	"23,588"
No	"23,661"
Yes	"23,666"
Yes	"23,906"
Yes	"23,599"
Yes	"23,601"
Yes	"23,607"
Yes	"23,608"
Yes	"23,610"
Yes	"23,612"
Yes	"22,809"
Yes	"23,631"
Yes	"23,636"
Yes	"23,637"
Yes	"23,639"
No	"22,764"
Yes	"21,680"
No	442
No	448
Yes	"20,473"
Yes	"20,477"
Yes	"20,481"
Yes	"20,483"
Yes	"20,494"
Yes	"5,635"
Yes	"20,457"
Yes	"20,458"
No	"20,656"
Yes	"20,934"
Yes	"20,938"
Yes	"20,948"
No	"20,952"
Yes	"20,737"
Yes	"20,914"
Yes	"20,921"
Yes	"20,860"
Yes	"20,867"
Yes	"20,868"
Yes	"20,869"
Yes	"20,872"
Yes	"20,873"
Yes	"20,875"
Yes	"20,888"
Yes	"20,891"
Yes	"20,892"
Yes	"20,511"
Yes	"21,229"
Yes	"21,965"
Yes	"22,511"
No	"21,534"
Yes	"9,358"
Yes	"9,353"
Yes	"9,346"
Yes	"9,343"
Yes	"9,342"
Yes	591
Yes	623
Yes	"21,353"
Yes	"21,354"
Yes	"19,122"
Yes	"21,361"
Yes	"21,366"
Yes	"21,379"
Yes	"21,385"
No	"21,412"
Yes	"21,418"
Yes	"21,430"
Yes	"21,431"
Yes	"21,433"
Yes	"21,434"
Yes	"21,445"
Yes	"21,448"
Yes	"21,455"
Yes	"21,465"
Yes	"21,479"
No	"21,269"
Yes	"20,552"
No	"14,057"
Yes	"14,064"
No	"20,564"
Yes	"22,085"
Yes	"22,086"
No	"21,969"
Yes	"21,271"
No	"21,278"
Yes	"21,289"
Yes	"21,298"
Yes	"21,306"
Yes	"21,310"
Yes	"21,317"
Yes	"21,337"
Yes	"21,344"
Yes	"21,345"
No	"21,347"
No	"21,349"
Yes	"20,521"
Yes	"20,524"
Yes	"21,950"
Yes	"14,061"
Yes	"21,266"
No	"20,549"
Yes	"21,436"
Yes	"21,193"
Yes	"21,937"
Yes	992
Yes	"21,942"
No	"21,536"
Yes	"21,980"
Yes	"21,993"
Yes	"22,007"
Yes	"22,009"
Yes	"22,034"
Yes	"21,794"
Yes	"21,500"
Yes	"21,807"
Yes	"21,815"
Yes	"21,822"
Yes	"21,823"
Yes	"21,831"
Yes	"21,835"
Yes	"21,838"
Yes	"21,842"
Yes	"21,843"
Yes	"21,854"
Yes	"21,863"
Yes	"21,521"
Yes	"21,523"
Yes	"21,890"
No	"21,905"
Yes	"21,914"
Yes	"21,915"
Yes	"21,925"
Yes	"21,926"
Yes	"21,930"
Yes	"21,931"
Yes	"22,050"
Yes	"22,058"
Yes	"22,059"
Yes	"22,061"
Yes	"22,230"
No	"21,572"
Yes	"21,604"
Yes	"22,249"
Yes	"22,256"
Yes	"22,288"
Yes	"21,568"
No	"21,766"
Yes	"21,767"
Yes	"22,301"
Yes	"22,305"
Yes	"22,307"
Yes	"22,329"
Yes	"22,340"
Yes	"22,349"
Yes	"21,492"
Yes	"21,517"
Yes	"21,527"
Yes	"22,360"
Yes	"22,363"
Yes	"22,366"
Yes	"22,370"
Yes	"22,136"
Yes	"22,140"
Yes	"22,191"
Yes	"22,195"
No	"22,198"
Yes	"22,211"
Yes	"22,217"
Yes	"21,689"
Yes	"21,537"
Yes	"21,538"
Yes	"21,540"
Yes	"21,615"
Yes	"21,616"
Yes	"21,629"
Yes	"21,631"
Yes	"21,639"
Yes	"21,664"
Yes	"21,705"
Yes	"21,737"
Yes	"21,739"
Yes	"21,740"
Yes	"21,745"
No	"21,782"
Yes	"22,609"
Yes	"22,611"
Yes	"22,612"
Yes	"22,613"
Yes	"22,614"
Yes	"22,623"
Yes	"22,625"
No	"22,628"
Yes	"22,634"
Yes	"22,636"
Yes	"22,637"
Yes	"22,638"
Yes	"22,674"
Yes	"22,684"
No	"22,698"
No	"22,700"
Yes	"22,702"
Yes	"22,704"
No	"22,715"
Yes	"22,438"
Yes	"22,447"
Yes	"22,450"
No	"22,454"
Yes	"22,457"
Yes	"22,471"
Yes	"22,467"
Yes	"22,500"
Yes	"22,502"
Yes	"22,526"
Yes	"22,529"
Yes	"22,533"
No	"22,539"
No	"22,552"
Yes	"22,557"
Yes	"22,563"
Yes	"22,584"
Yes	"22,590"
Yes	"22,598"
Yes	"22,601"
Yes	"23,456"
Yes	"23,458"
Yes	"23,750"
Yes	"23,000"
Yes	"23,792"
Yes	"22,732"
No	"22,735"
Yes	"22,741"
Yes	"22,752"
Yes	"22,794"
No	"22,801"
Yes	"22,807"
Yes	"22,813"
Yes	"22,814"
No	"22,823"
Yes	"22,829"
Yes	"22,832"
No	"23,414"
Yes	"23,811"
Yes	"23,818"
Yes	"23,946"
Yes	"22,878"
No	"22,885"
Yes	"22,895"
Yes	"22,900"
Yes	"22,903"
Yes	"22,930"
Yes	"22,948"
Yes	"22,950"
Yes	"22,952"
Yes	"22,967"
Yes	"22,980"
Yes	"22,989"
Yes	"23,963"
Yes	"23,299"
Yes	124
Yes	"23,970"
Yes	"23,321"
Yes	"23,979"
Yes	"23,982"
Yes	"23,987"
Yes	"23,932"
Yes	"24,016"
Yes	"24,042"
Yes	"22,993"
Yes	"23,005"
Yes	"23,009"
Yes	"23,015"
Yes	"21,497"
No	"23,035"
Yes	"23,040"
Yes	137
Yes	204
Yes	"23,048"
No	"23,140"
Yes	"23,146"
Yes	"23,159"
No	"23,177"
No	"23,179"
No	"23,182"
Yes	"23,956"
Yes	"23,975"
No	"23,985"
Yes	"24,019"
Yes	"24,047"
No	"23,680"
Yes	"23,394"
No	"23,398"
No	"23,374"
No	"23,191"
Yes	"23,401"
Yes	"22,384"
Yes	"23,885"
Yes	"23,886"
No	"23,891"
Yes	"23,898"
Yes	"23,207"
Yes	"23,219"
Yes	"23,222"
Yes	"23,224"
No	"23,230"
Yes	"23,237"
Yes	"23,238"
Yes	"23,241"
No	"23,262"
Yes	"23,271"
Yes	"23,273"
Yes	"23,280"
Yes	"23,331"
Yes	"23,332"
Yes	"23,333"
Yes	"23,338"
Yes	"23,354"
Yes	"23,363"
Yes	"23,365"
Yes	"22,661"
Yes	"22,663"
Yes	"23,375"
Yes	"23,434"
Yes	"23,435"
Yes	"23,436"
Yes	"23,438"
Yes	"23,443"
Yes	"23,445"
Yes	"23,486"
Yes	"23,497"
Yes	"23,498"
Yes	"23,506"
Yes	"23,516"
Yes	"23,533"
Yes	"23,554"
Yes	"23,556"
Yes	"23,562"
Yes	"23,578"
Yes	"23,087"
Yes	"23,092"
Yes	"23,673"
No	"23,061"
No	"23,684"
No	"22,717"
Yes	"22,156"
Yes	"22,161"
Yes	"22,166"
Yes	"22,397"
Yes	"22,398"
Yes	"22,415"
Yes	"22,420"
Yes	"22,424"
Yes	"22,430"
Yes	"23,696"
No	"23,700"
Yes	"23,701"
Yes	"23,265"
No	"19,397"
Yes	"19,400"
Yes	"19,406"
Yes	"19,411"
Yes	"19,407"
No	"1,562"
No	"1,563"
No	"1,565"
No	"2,111"
Yes	"18,649"
Yes	"18,656"
Yes	"20,086"
Yes	"2,044"
No	"19,837"
Yes	"19,839"
No	"15,376"
Yes	"20,156"
No	"20,163"
Yes	"20,167"
Yes	"20,181"
No	"20,184"
No	"15,319"
No	"15,355"
Yes	"17,211"
Yes	"17,406"
Yes	"17,408"
Yes	"17,778"
No	"1,580"
No	"1,837"
No	"6,694"
Yes	"19,842"
Yes	"20,134"
No	"1,818"
Yes	"15,334"
Yes	"15,380"
Yes	"20,207"
Yes	"19,301"
Yes	"19,302"
Yes	"19,304"
Yes	"22,512"
Yes	"22,523"
No	"23,063"
No	"23,074"
No	"23,091"
Yes	"23,099"
No	"1,725"
No	"19,096"
No	"7,733"
No	"14,969"
No	"8,351"
No	"1,870"
Yes	"18,344"
Yes	"18,358"
Yes	"18,364"
Yes	"20,275"
No	"14,786"
Yes	"23,105"
Yes	"23,107"
Yes	"23,115"
Yes	"16,087"
Yes	"16,101"
Yes	"16,105"
Yes	"16,113"
Yes	"16,120"
Yes	"16,126"
Yes	"16,130"
Yes	"16,499"
Yes	"16,516"
Yes	"16,518"
Yes	"16,585"
Yes	"16,594"
No	"1,884"
Yes	954
Yes	"1,648"
No	"1,783"
Yes	"21,025"
Yes	"21,028"
Yes	"21,068"
Yes	"21,098"
Yes	"21,096"
Yes	"21,112"
Yes	"18,725"
Yes	"18,741"
No	"18,747"
Yes	"18,750"
Yes	"18,752"
No	"1,792"
Yes	"20,302"
Yes	"20,316"
No	"20,324"
Yes	"20,333"
Yes	"20,343"
No	"1,513"
No	"1,462"
Yes	"21,114"
Yes	"20,659"
Yes	"21,124"
Yes	"19,004"
Yes	"19,007"
No	"1,393"
Yes	"19,011"
Yes	"19,013"
Yes	"19,016"
Yes	300
No	257
No	259
Yes	260
Yes	225
No	"1,404"
No	"1,470"
Yes	"1,475"
No	"1,478"
No	"1,484"
No	"17,988"
No	251
No	"21,129"
No	"21,135"
Yes	"17,050"
Yes	"17,191"
Yes	"17,197"
Yes	226
Yes	"1,683"
Yes	"19,690"
No	"1,707"
Yes	"1,711"
No	"1,407"
Yes	"1,283"
Yes	"18,991"
Yes	"16,840"
Yes	"16,843"
Yes	"16,845"
Yes	"16,846"
Yes	"16,849"
Yes	"16,854"
Yes	"16,855"
Yes	541
Yes	542
Yes	"1,520"
No	"1,446"
No	"1,420"
Yes	223
Yes	"16,862"
Yes	"16,863"
Yes	"16,865"
Yes	"16,870"
Yes	"16,873"
Yes	"16,884"
Yes	957
No	958
Yes	317
No	"2,322"
Yes	"18,660"
No	"2,200"
No	"18,807"
Yes	"2,202"
No	"1,447"
Yes	"15,963"
No	"1,311"
No	"1,331"
No	"16,812"
No	"17,537"
Yes	"17,566"
Yes	"17,593"
Yes	"17,597"
Yes	"17,598"
Yes	385
Yes	388
Yes	395
Yes	"15,466"
Yes	"15,972"
No	"15,980"
Yes	"16,748"
No	"19,048"
No	"18,779"
No	"18,782"
No	"18,785"
No	"18,792"
Yes	"1,996"
Yes	"19,782"
Yes	"19,789"
Yes	"19,791"
Yes	"2,218"
Yes	"2,159"
Yes	"15,467"
Yes	"15,705"
Yes	"15,719"
No	"1,177"
Yes	"1,178"
Yes	"15,869"
Yes	"15,874"
	"2,455"
Yes	797
Yes	"21,161"
No	"21,168"
No	"21,188"
No	"1,796"
No	"18,973"
Yes	"16,990"
Yes	"17,017"
Yes	"17,023"
Yes	"17,029"
Yes	"17,039"
Yes	"17,080"
No	"1,339"
No	"15,285"
No	"16,897"
Yes	"15,433"
Yes	"15,437"
Yes	"1,962"
No	"1,812"
Yes	"19,426"
Yes	"19,430"
Yes	"19,433"
Yes	"19,434"
Yes	"19,441"
Yes	"19,444"
Yes	"18,882"
Yes	"18,884"
Yes	"18,888"
No	"19,314"
Yes	"16,428"
Yes	"16,430"
Yes	"16,736"
Yes	"15,896"
Yes	"16,739"
Yes	"15,899"
Yes	"15,455"
Yes	"17,330"
Yes	"15,477"
No	172
Yes	"1,845"
Yes	"19,470"
No	945
No	"1,920"
No	"1,926"
No	"1,932"
No	"1,933"
No	"17,217"
No	"17,220"
Yes	"17,209"
Yes	"17,350"
No	190
Yes	199
Yes	"1,747"
Yes	"1,762"
Yes	"17,260"
Yes	"17,261"
Yes	"19,318"
Yes	"19,321"
Yes	"19,325"
Yes	"19,327"
Yes	"15,269"
No	"18,609"
Yes	"18,612"
Yes	"18,615"
Yes	"19,334"
Yes	"19,342"
No	"2,008"
Yes	"19,371"
No	"19,378"
Yes	"19,379"
No	"1,383"
Yes	"18,286"
Yes	"18,301"
No	"18,314"
No	205
Yes	"19,625"
Yes	"19,635"
Yes	"19,636"
Yes	"1,152"
Yes	"19,652"
Yes	"1,156"
Yes	"1,157"
No	"19,670"
Yes	"3,116"
No	"1,202"
No	580
Yes	636
Yes	641
Yes	216
No	219
Yes	"1,348"
Yes	"18,247"
Yes	"19,579"
Yes	"16,557"
Yes	"16,565"
No	"16,567"
Yes	"15,190"
Yes	"15,202"
Yes	"14,996"
Yes	"5,233"
Yes	"20,968"
Yes	"17,855"
No	"15,513"
Yes	"15,573"
Yes	"18,262"
Yes	"1,350"
No	"18,271"
Yes	"18,281"
No	"19,674"
Yes	"19,955"
Yes	"19,957"
Yes	"19,974"
Yes	"8,936"
Yes	"15,955"
Yes	"15,840"
Yes	505
Yes	"15,857"
Yes	"15,858"
Yes	"15,861"
Yes	"15,862"
Yes	"15,865"
Yes	"15,895"
No	978
No	"17,423"
Yes	"15,578"
Yes	"15,743"
Yes	"15,981"
Yes	"17,118"
No	139
Yes	"16,044"
Yes	"20,627"
Yes	"20,629"
Yes	"20,631"
Yes	"20,634"
Yes	"20,637"
Yes	"20,640"
Yes	"15,098"
Yes	"15,099"
Yes	"13,353"
Yes	"13,383"
Yes	"13,368"
No	"13,407"
Yes	"13,430"
No	"15,062"
No	"15,152"
Yes	"15,960"
Yes	586
Yes	"15,994"
Yes	"15,997"
Yes	"15,998"
No	"9,361"
Yes	587
No	"19,707"
No	"16,006"
No	"16,008"
No	"16,013"
Yes	402
Yes	30
Yes	"2,711"
Yes	"15,572"
No	"15,598"
No	"15,602"
Yes	"15,607"
Yes	"16,054"
Yes	"16,067"
Yes	"16,071"
Yes	"16,148"
Yes	"16,158"
No	"17,278"
Yes	"17,282"
Yes	"17,363"
Yes	"17,370"
Yes	"17,374"
Yes	"17,377"
Yes	"17,382"
Yes	"17,384"
No	"15,076"
Yes	"18,590"
Yes	"18,154"
Yes	"16,414"
Yes	"16,416"
No	"16,447"
Yes	"16,455"
Yes	"16,456"
Yes	787
Yes	"16,460"
Yes	"16,467"
Yes	"15,759"
Yes	"15,762"
Yes	"15,785"
Yes	"15,624"
No	"17,139"
No	454
Yes	"16,701"
No	"17,142"
Yes	"2,727"
Yes	"15,398"
Yes	"15,399"
Yes	"2,692"
Yes	"20,344"
Yes	"20,347"
Yes	722
Yes	753
Yes	"4,340"
Yes	"14,926"
Yes	"5,370"
Yes	"15,809"
Yes	"15,816"
Yes	"15,821"
Yes	"21,961"
Yes	471
Yes	74
Yes	"2,720"
Yes	"2,698"
Yes	"2,706"
Yes	"11,422"
Yes	"3,045"
Yes	"3,029"
Yes	"1,537"
Yes	8
Yes	415
Yes	"14,913"
Yes	"15,660"
Yes	"15,664"
Yes	"15,669"
Yes	"15,670"
Yes	"15,814"
Yes	"15,817"
Yes	844
No	"15,724"
No	"15,731"
Yes	"15,661"
No	426
No	"15,281"
Yes	"22,376"
Yes	"20,592"
Yes	"19,210"
Yes	"19,998"
Yes	"20,001"
No	"20,004"
No	"15,116"
Yes	"15,119"
Yes	"15,109"
Yes	"15,108"
Yes	"2,066"
Yes	"4,460"
Yes	"14,940"
No	"12,391"
No	"12,401"
Yes	"12,365"
Yes	513
Yes	123
No	"19,044"
Yes	"19,274"
No	"19,805"
Yes	"19,533"
Yes	"19,103"
Yes	"18,447"
Yes	"18,017"
No	"16,030"
Yes	"16,036"
Yes	"16,038"
No	922
Yes	"16,181"
No	612
Yes	611
Yes	"20,908"
Yes	"16,369"
Yes	"16,377"
Yes	548
No	"19,106"
No	"19,107"
No	"2,030"
Yes	"19,129"
Yes	"19,131"
No	"19,135"
Yes	"19,139"
No	"19,234"
Yes	"2,077"
Yes	923
Yes	"12,329"
Yes	"12,346"
Yes	"16,081"
Yes	"17,877"
Yes	"17,889"
Yes	"17,895"
Yes	"17,902"
Yes	"18,072"
Yes	"16,391"
Yes	"21,726"
Yes	659
Yes	"20,976"
Yes	647
Yes	"2,035"
Yes	"19,266"
	"14,986"
No	"12,974"
Yes	"16,168"
Yes	"16,169"
No	"16,176"
Yes	"19,147"
Yes	"19,151"
Yes	"19,159"
Yes	"19,169"
Yes	"19,171"
Yes	"19,173"
Yes	"16,317"
Yes	"16,321"
Yes	"16,323"
Yes	"16,328"
Yes	"16,329"
Yes	"16,337"
Yes	"16,345"
Yes	"16,354"
Yes	"16,356"
Yes	"16,363"
Yes	"18,508"
Yes	"18,514"
Yes	58
Yes	"20,730"
No	308
Yes	"17,684"
Yes	"17,685"
Yes	"17,687"
Yes	"17,714"
Yes	326
No	875
Yes	"18,522"
Yes	"18,526"
Yes	738
Yes	"18,545"
Yes	"16,278"
Yes	"16,280"
Yes	145
Yes	"17,665"
Yes	"17,931"
Yes	"17,932"
No	"17,939"
No	843
Yes	"17,954"
Yes	"17,958"
Yes	"18,055"
Yes	"18,075"
Yes	"16,283"
Yes	"16,298"
Yes	"16,299"
Yes	730
Yes	732
Yes	"18,493"
Yes	"18,494"
Yes	"18,500"
Yes	"19,035"
No	"19,040"
No	"8,531"
Yes	338
Yes	"17,543"
Yes	"17,564"
Yes	"17,609"
Yes	"17,656"
Yes	715
Yes	717
Yes	"16,236"
Yes	"16,244"
Yes	"16,712"
Yes	"16,952"
No	848
Yes	849
Yes	"18,085"
Yes	"18,092"
No	854
Yes	"17,371"
Yes	"19,693"
Yes	"16,525"
Yes	"19,708"
Yes	"16,530"
No	"16,544"
Yes	"16,547"
Yes	"16,555"
Yes	"12,342"
Yes	"2,784"
Yes	462
Yes	"16,742"
Yes	"17,186"
Yes	"16,909"
No	"16,910"
Yes	409
No	"19,558"
No	"19,559"
Yes	"19,565"
Yes	"8,941"
Yes	"14,916"
Yes	"2,799"
Yes	"2,811"
Yes	"2,756"
Yes	"6,770"
Yes	406
No	"1,359"
